## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8292e+00   1.0381e+00  -1.2724e-03   2.5157e-03   5.1527e+03   2.7969e+04
  3.5313e+00   3.5730e+00   1.2716e+00   3.1504e-03   2.0218e-03   7.9773e+03   4.3451e+04
  4.4457e+00   4.4929e+00   1.5006e+00   4.2868e-04   1.6176e-03   1.2462e+04   6.7235e+04
  5.5968e+00   5.6558e+00   1.7308e+00   9.3780e-04   1.2964e-03   1.9404e+04   1.0444e+05
  7.0460e+00   7.1177e+00   1.9607e+00   1.8254e-03   1.0386e-03   3.0228e+04   1.6113e+05
  8.8703e+00   8.9683e+00   2.1918e+00  -3.4168e-04   8.4060e-04   4.6149e+04   2.5012e+05
  1.1167e+01   1.1280e+01   2.4211e+00   5.1717e-04   6.7299e-04   7.2000e+04   3.9147e+05
  1.4059e+01   1.4196e+01   2.6510e+00   6.9297e-04   5.4318e-04   1.1053e+05   5.9543e+05
  1.7699e+01   1.7882e+01   2.8818e+00   6.8977e-04   4.4464e-04   1.6494e+05   8.9586e+05
  2.2281e+01   2.2486e+01   3.1109e+00   2.7645e-04   3.6093e-04   2.5032e+05   1.3549e+06
  2.8050e+01   2.8315e+01   3.3414e+00   4.4821e-05   2.9713e-04   3.6936e+05   2.0106e+06
  3.5313e+01   3.5640e+01   3.5715e+00   4.0829e-04   2.4632e-04   5.3747e+05   2.9136e+06
  4.4457e+01   4.4874e+01   3.8019e+00  -1.3943e-04   2.0352e-04   7.8732e+05   4.2157e+06
  5.5968e+01   5.6445e+01   4.0313e+00   2.1109e-04   1.6942e-04   1.1362e+06   5.9261e+06
  7.0460e+01   7.1029e+01   4.2611e+00   7.8679e-04   1.4436e-04   1.5648e+06   8.1250e+06
  8.8703e+01   8.9370e+01   4.4908e+00   1.1924e-03   1.2399e-04   2.1211e+06   1.1037e+07
  1.1167e+02   1.1285e+02   4.7240e+00   1.0639e-03   1.0426e-04   2.9999e+06   1.5842e+07
  1.4059e+02   1.4208e+02   4.9544e+00   7.8416e-04   8.2720e-05   4.7656e+06   2.5145e+07
  1.7699e+02   1.7886e+02   5.1845e+00  -1.1782e-04   6.5881e-05   7.5132e+06   3.9856e+07
  2.2281e+02   2.2423e+02   5.4106e+00  -2.8457e-04   5.4582e-05   1.0946e+07   5.7428e+07
