## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8301e+00   1.0384e+00   9.8959e-04  -3.1879e-04   1.2413e-03   2.1426e+04   1.3417e+05
  3.5313e+00   3.5649e+00   1.2693e+00   7.1403e-04  -3.5247e-04   1.0115e-03   3.2262e+04   2.0372e+05
  4.4457e+00   4.4918e+00   1.5004e+00   6.0142e-04  -7.4001e-04   8.2320e-04   4.8713e+04   3.0782e+05
  5.5968e+00   5.6522e+00   1.7302e+00   8.1633e-04  -4.2266e-05   6.6657e-04   7.4297e+04   4.6757e+05
  7.0460e+00   7.1160e+00   1.9604e+00  -7.3266e-05   1.1845e-04   5.4253e-04   1.1215e+05   7.0739e+05
  8.8703e+00   8.9639e+00   2.1913e+00  -4.1225e-04  -2.4851e-04   4.3886e-04   1.7140e+05   1.0862e+06
  1.1167e+01   1.1281e+01   2.4212e+00   8.4338e-06  -2.0093e-04   3.5348e-04   2.6419e+05   1.6785e+06
  1.4059e+01   1.4203e+01   2.6515e+00   1.9733e-04   4.8013e-04   2.8646e-04   4.0227e+05   2.5590e+06
  1.7699e+01   1.7881e+01   2.8818e+00  -9.5581e-05   2.7192e-04   2.3253e-04   6.1051e+05   3.8940e+06
  2.2281e+01   2.2497e+01   3.1114e+00   2.2624e-04  -1.5746e-05   1.8816e-04   9.3245e+05   5.9437e+06
  2.8050e+01   2.8331e+01   3.3420e+00   1.8539e-04   8.7760e-05   1.5411e-04   1.3899e+06   8.8578e+06
  3.5313e+01   3.5649e+01   3.5717e+00  -1.3884e-05  -4.5220e-06   1.2621e-04   2.0725e+06   1.3200e+07
  4.4457e+01   4.4883e+01   3.8021e+00  -6.0658e-05  -4.1441e-05   1.0326e-04   3.0957e+06   1.9710e+07
  5.5968e+01   5.6512e+01   4.0324e+00   1.2904e-04  -1.1448e-04   8.4676e-05   4.6040e+06   2.9279e+07
  7.0460e+01   7.1236e+01   4.2640e+00   4.5190e-04  -5.1466e-06   6.8395e-05   7.0568e+06   4.4960e+07
  8.8703e+01   8.9753e+01   4.4951e+00   2.3592e-04  -9.9308e-06   5.3724e-05   1.1437e+07   7.2752e+07
  1.1167e+02   1.1295e+02   4.7250e+00   3.4410e-04   1.8780e-04   4.1764e-05   1.8925e+07   1.2029e+08
  1.4059e+02   1.4219e+02   4.9552e+00   3.6909e-04   3.3446e-04   3.2656e-05   3.0955e+07   1.9774e+08
  1.7699e+02   1.7892e+02   5.1849e+00   5.1051e-04   3.7658e-04   2.5641e-05   5.0211e+07   3.1915e+08
  2.2281e+02   2.2480e+02   5.4132e+00   5.9166e-04   2.4745e-04   2.1058e-05   7.4441e+07   4.7689e+08
