## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8326e+00   1.0393e+00   6.4499e-01   6.6316e-04   1.4771e+06   1.4771e+06
  3.5313e+00   3.5676e+00   1.2700e+00   6.4460e-01   5.3411e-04   2.2770e+06   2.2770e+06
  4.4457e+00   4.4914e+00   1.5003e+00   6.4498e-01   4.2907e-04   3.5283e+06   3.5283e+06
  5.5968e+00   5.6545e+00   1.7305e+00   6.4566e-01   3.4512e-04   5.4539e+06   5.4539e+06
  7.0460e+00   7.1179e+00   1.9607e+00   6.4549e-01   2.7833e-04   8.3850e+06   8.3850e+06
  8.8703e+00   8.9657e+00   2.1915e+00   6.4552e-01   2.2365e-04   1.2987e+07   1.2987e+07
  1.1167e+01   1.1284e+01   2.4214e+00   6.4532e-01   1.7820e-04   2.0455e+07   2.0455e+07
  1.4059e+01   1.4208e+01   2.6518e+00   6.4568e-01   1.4301e-04   3.1761e+07   3.1761e+07
  1.7699e+01   1.7886e+01   2.8821e+00   6.4565e-01   1.1468e-04   4.9393e+07   4.9393e+07
  2.2281e+01   2.2513e+01   3.1121e+00   6.4567e-01   9.1785e-05   7.7106e+07   7.7106e+07
  2.8050e+01   2.8352e+01   3.3427e+00   6.4574e-01   7.3573e-05   1.2000e+08   1.2000e+08
  3.5313e+01   3.5683e+01   3.5727e+00   6.4565e-01   5.9042e-05   1.8634e+08   1.8634e+08
  4.4457e+01   4.4923e+01   3.8029e+00   6.4544e-01   4.7353e-05   2.8970e+08   2.8970e+08
  5.5968e+01   5.6569e+01   4.0334e+00   6.4507e-01   3.8049e-05   4.4868e+08   4.4868e+08
  7.0460e+01   7.1215e+01   4.2637e+00   6.4474e-01   3.0349e-05   7.0525e+08   7.0525e+08
  8.8703e+01   8.9651e+01   4.4939e+00   6.4434e-01   2.4312e-05   1.0990e+09   1.0990e+09
  1.1167e+02   1.1289e+02   4.7243e+00   6.4385e-01   1.9389e-05   1.7279e+09   1.7279e+09
  1.4059e+02   1.4204e+02   4.9541e+00   6.4258e-01   1.5583e-05   2.6752e+09   2.6752e+09
  1.7699e+02   1.7898e+02   5.1852e+00   6.4149e-01   1.2449e-05   4.1917e+09   4.1917e+09
  2.2281e+02   2.2499e+02   5.4140e+00   6.4091e-01   9.9527e-06   6.5577e+09   6.5577e+09
