## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8330e+00   1.0394e+00  -9.1874e-04   1.4701e-04   1.5315e+06   1.5315e+06
  3.5313e+00   3.5681e+00   1.2701e+00  -7.7631e-04   1.1818e-04   2.3697e+06   2.3697e+06
  4.4457e+00   4.4922e+00   1.5005e+00  -1.0060e-03   9.4642e-05   3.6951e+06   3.6951e+06
  5.5968e+00   5.6553e+00   1.7307e+00  -8.9417e-04   7.5837e-05   5.7549e+06   5.7549e+06
  7.0460e+00   7.1194e+00   1.9609e+00  -9.2063e-04   6.0791e-05   8.9560e+06   8.9560e+06
  8.8703e+00   8.9653e+00   2.1914e+00  -1.1064e-03   4.8669e-05   1.3973e+07   1.3973e+07
  1.1167e+01   1.1285e+01   2.4215e+00  -1.0455e-03   3.8798e-05   2.1987e+07   2.1987e+07
  1.4059e+01   1.4208e+01   2.6519e+00  -1.0404e-03   3.1047e-05   3.4337e+07   3.4337e+07
  1.7699e+01   1.7888e+01   2.8822e+00  -1.0249e-03   2.4823e-05   5.3716e+07   5.3716e+07
  2.2281e+01   2.2519e+01   3.1124e+00  -1.0359e-03   1.9786e-05   8.4547e+07   8.4547e+07
  2.8050e+01   2.8347e+01   3.3425e+00  -1.0257e-03   1.5846e-05   1.3181e+08   1.3181e+08
  3.5313e+01   3.5682e+01   3.5726e+00  -9.0111e-04   1.2729e-05   2.0427e+08   2.0427e+08
  4.4457e+01   4.4917e+01   3.8028e+00  -7.4601e-04   1.0247e-05   3.1523e+08   3.1523e+08
  5.5968e+01   5.6549e+01   4.0331e+00  -7.9083e-04   8.2623e-06   4.8484e+08   4.8484e+08
  7.0460e+01   7.1187e+01   4.2633e+00  -7.8500e-04   6.6615e-06   7.4586e+08   7.4586e+08
  8.8703e+01   8.9582e+01   4.4931e+00  -6.8625e-04   5.4184e-06   1.1273e+09   1.1273e+09
  1.1167e+02   1.1282e+02   4.7238e+00  -5.6856e-04   4.4088e-06   1.7028e+09   1.7028e+09
  1.4059e+02   1.4213e+02   4.9547e+00  -5.7596e-04   3.5315e-06   2.6539e+09   2.6539e+09
  1.7699e+02   1.7893e+02   5.1850e+00  -5.5220e-04   2.8086e-06   4.1958e+09   4.1958e+09
  2.2281e+02   2.2460e+02   5.4123e+00  -4.0542e-04   2.2967e-06   6.2745e+09   6.2745e+09
