## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8334e+00   1.0396e+00   4.7869e-04   1.2465e-04   2.1240e+06   2.1240e+06
  3.5313e+00   3.5689e+00   1.2704e+00   8.5306e-04   9.9801e-05   3.3134e+06   3.3134e+06
  4.4457e+00   4.4927e+00   1.5006e+00   7.8465e-04   7.9585e-05   5.2106e+06   5.2106e+06
  5.5968e+00   5.6560e+00   1.7308e+00   6.7108e-04   6.3577e-05   8.1649e+06   8.1649e+06
  7.0460e+00   7.1203e+00   1.9610e+00   7.7852e-04   5.0837e-05   1.2770e+07   1.2770e+07
  8.8703e+00   8.9660e+00   2.1915e+00   7.9532e-04   4.0558e-05   2.0063e+07   2.0063e+07
  1.1167e+01   1.1286e+01   2.4216e+00   8.7123e-04   3.2280e-05   3.1673e+07   3.1673e+07
  1.4059e+01   1.4208e+01   2.6519e+00   8.2494e-04   2.5760e-05   4.9735e+07   4.9735e+07
  1.7699e+01   1.7889e+01   2.8822e+00   8.5342e-04   2.0571e-05   7.7991e+07   7.7991e+07
  2.2281e+01   2.2520e+01   3.1124e+00   8.4857e-04   1.6400e-05   1.2270e+08   1.2270e+08
  2.8050e+01   2.8351e+01   3.3427e+00   8.5774e-04   1.3089e-05   1.9262e+08   1.9262e+08
  3.5313e+01   3.5687e+01   3.5728e+00   8.7941e-04   1.0475e-05   3.0075e+08   3.0075e+08
  4.4457e+01   4.4925e+01   3.8030e+00   9.7985e-04   8.4007e-06   4.6764e+08   4.6764e+08
  5.5968e+01   5.6556e+01   4.0332e+00   9.2914e-04   6.7440e-06   7.2562e+08   7.2562e+08
  7.0460e+01   7.1211e+01   4.2636e+00   8.1600e-04   5.4063e-06   1.1291e+09   1.1291e+09
  8.8703e+01   8.9662e+01   4.4940e+00   7.6817e-04   4.3200e-06   1.7684e+09   1.7684e+09
  1.1167e+02   1.1289e+02   4.7244e+00   7.1760e-04   3.4404e-06   2.7882e+09   2.7882e+09
  1.4059e+02   1.4215e+02   4.9548e+00   6.2109e-04   2.7285e-06   4.4331e+09   4.4331e+09
  1.7699e+02   1.7904e+02   5.1856e+00   6.3414e-04   2.1471e-06   7.1585e+09   7.1585e+09
  2.2281e+02   2.2504e+02   5.4142e+00   4.9939e-04   1.7185e-06   1.1174e+10   1.1174e+10
