## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8327e+00   1.0393e+00   5.2610e-04  -1.0776e-03   4.1911e-04   1.8524e+05   1.8524e+05
  3.5313e+00   3.5688e+00   1.2703e+00  -3.3561e-04   1.9732e-05   3.3588e-04   2.8842e+05   2.8842e+05
  4.4457e+00   4.4925e+00   1.5005e+00  -6.2954e-05   2.4283e-04   2.6987e-04   4.4675e+05   4.4675e+05
  5.5968e+00   5.6553e+00   1.7307e+00   1.1976e-04  -2.3790e-04   2.1579e-04   6.9875e+05   6.9875e+05
  7.0460e+00   7.1188e+00   1.9608e+00   2.9321e-04  -2.5191e-04   1.7298e-04   1.0874e+06   1.0874e+06
  8.8703e+00   8.9650e+00   2.1914e+00   1.4689e-04   2.0591e-05   1.3863e-04   1.6931e+06   1.6931e+06
  1.1167e+01   1.1280e+01   2.4211e+00   1.6455e-04  -1.7454e-04   1.1140e-04   2.6218e+06   2.6218e+06
  1.4059e+01   1.4199e+01   2.6512e+00  -9.4246e-05   3.9618e-05   9.0472e-05   3.9752e+06   3.9752e+06
  1.7699e+01   1.7873e+01   2.8813e+00  -4.9999e-05  -3.1186e-05   7.3889e-05   5.9597e+06   5.9597e+06
  2.2281e+01   2.2492e+01   3.1112e+00  -3.5946e-04   1.6402e-04   6.0677e-05   8.8377e+06   8.8377e+06
  2.8050e+01   2.8326e+01   3.3418e+00  -5.1197e-04   3.9484e-04   4.9716e-05   1.3164e+07   1.3164e+07
  3.5313e+01   3.5629e+01   3.5711e+00  -5.9402e-04   3.2214e-04   4.1289e-05   1.9086e+07   1.9086e+07
  4.4457e+01   4.4850e+01   3.8013e+00  -6.0070e-04   1.4992e-04   3.4592e-05   2.7191e+07   2.7191e+07
  5.5968e+01   5.6469e+01   4.0317e+00  -4.1967e-04   2.0303e-05   2.8965e-05   3.8784e+07   3.8784e+07
  7.0460e+01   7.1097e+01   4.2620e+00  -2.0015e-04  -3.6464e-04   2.4220e-05   5.5468e+07   5.5468e+07
  8.8703e+01   8.9641e+01   4.4938e+00  -9.6644e-05  -6.0380e-04   1.9788e-05   8.3094e+07   8.3094e+07
  1.1167e+02   1.1290e+02   4.7245e+00  -1.6220e-04  -5.9338e-05   1.5774e-05   1.3077e+08   1.3077e+08
  1.4059e+02   1.4223e+02   4.9554e+00  -7.6786e-04  -3.5216e-04   1.2448e-05   2.0999e+08   2.0999e+08
  1.7699e+02   1.7891e+02   5.1848e+00  -6.1253e-04  -3.8028e-04   9.8197e-06   3.3744e+08   3.3744e+08
  2.2281e+02   2.2342e+02   5.4070e+00  -4.0941e-04   1.9401e-04   8.3970e-06   4.6146e+08   4.6146e+08
