## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8327e+00   1.0393e+00   6.3793e-01   8.2518e-04   9.6886e+05   9.6886e+05
  3.5313e+00   3.5678e+00   1.2701e+00   6.3801e-01   6.6313e-04   1.5002e+06   1.5002e+06
  4.4457e+00   4.4921e+00   1.5004e+00   6.3782e-01   5.3115e-04   2.3384e+06   2.3384e+06
  5.5968e+00   5.6551e+00   1.7307e+00   6.3810e-01   4.2488e-04   3.6544e+06   3.6544e+06
  7.0460e+00   7.1201e+00   1.9610e+00   6.3790e-01   3.4022e-04   5.6994e+06   5.6994e+06
  8.8703e+00   8.9655e+00   2.1915e+00   6.3792e-01   2.7211e-04   8.9096e+06   8.9096e+06
  1.1167e+01   1.1285e+01   2.4216e+00   6.3728e-01   2.1681e-04   1.4034e+07   1.4034e+07
  1.4059e+01   1.4207e+01   2.6518e+00   6.3769e-01   1.7354e-04   2.1905e+07   2.1905e+07
  1.7699e+01   1.7889e+01   2.8822e+00   6.3754e-01   1.3880e-04   3.4245e+07   3.4245e+07
  2.2281e+01   2.2519e+01   3.1124e+00   6.3754e-01   1.1052e-04   5.4006e+07   5.4006e+07
  2.8050e+01   2.8354e+01   3.3428e+00   6.3763e-01   8.8207e-05   8.4790e+07   8.4790e+07
  3.5313e+01   3.5692e+01   3.5729e+00   6.3800e-01   7.0364e-05   1.3325e+08   1.3325e+08
  4.4457e+01   4.4927e+01   3.8030e+00   6.3834e-01   5.6250e-05   2.0850e+08   2.0850e+08
  5.5968e+01   5.6555e+01   4.0332e+00   6.3872e-01   4.5134e-05   3.2385e+08   3.2385e+08
  7.0460e+01   7.1206e+01   4.2636e+00   6.3931e-01   3.6281e-05   5.0118e+08   5.0118e+08
  8.8703e+01   8.9643e+01   4.4938e+00   6.4040e-01   2.9083e-05   7.7997e+08   7.7997e+08
  1.1167e+02   1.1288e+02   4.7243e+00   6.4174e-01   2.3238e-05   1.2217e+09   1.2217e+09
  1.4059e+02   1.4212e+02   4.9546e+00   6.4377e-01   1.8505e-05   1.9265e+09   1.9265e+09
  1.7699e+02   1.7873e+02   5.1839e+00   6.4564e-01   1.4877e-05   2.9809e+09   2.9809e+09
  2.2281e+02   2.2464e+02   5.4125e+00   6.4652e-01   1.2504e-05   4.2194e+09   4.2194e+09
