## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8327e+00   1.0393e+00  -8.4639e-04   1.8472e-04   9.6849e+05   9.6849e+05
  3.5313e+00   3.5678e+00   1.2701e+00  -9.1120e-04   1.4843e-04   1.5000e+06   1.5000e+06
  4.4457e+00   4.4922e+00   1.5005e+00  -8.3320e-04   1.1888e-04   2.3383e+06   2.3383e+06
  5.5968e+00   5.6551e+00   1.7307e+00  -6.9266e-04   9.5113e-05   3.6531e+06   3.6531e+06
  7.0460e+00   7.1200e+00   1.9610e+00  -8.3713e-04   7.6155e-05   5.6982e+06   5.6982e+06
  8.8703e+00   8.9655e+00   2.1915e+00  -7.0658e-04   6.0911e-05   8.9073e+06   8.9073e+06
  1.1167e+01   1.1285e+01   2.4216e+00  -7.0262e-04   4.8532e-05   1.4031e+07   1.4031e+07
  1.4059e+01   1.4206e+01   2.6518e+00  -6.8129e-04   3.8847e-05   2.1899e+07   2.1899e+07
  1.7699e+01   1.7889e+01   2.8822e+00  -6.7026e-04   3.1068e-05   3.4239e+07   3.4239e+07
  2.2281e+01   2.2519e+01   3.1124e+00  -6.7665e-04   2.4738e-05   5.4000e+07   5.4000e+07
  2.8050e+01   2.8354e+01   3.3428e+00  -6.9622e-04   1.9743e-05   8.4782e+07   8.4782e+07
  3.5313e+01   3.5691e+01   3.5729e+00  -6.6025e-04   1.5749e-05   1.3323e+08   1.3323e+08
  4.4457e+01   4.4927e+01   3.8030e+00  -5.9728e-04   1.2590e-05   2.0849e+08   2.0849e+08
  5.5968e+01   5.6554e+01   4.0332e+00  -4.9550e-04   1.0102e-05   3.2383e+08   3.2383e+08
  7.0460e+01   7.1206e+01   4.2636e+00  -4.0539e-04   8.1206e-06   5.0115e+08   5.0115e+08
  8.8703e+01   8.9643e+01   4.4938e+00  -2.7305e-04   6.5092e-06   7.7998e+08   7.7998e+08
  1.1167e+02   1.1288e+02   4.7243e+00  -2.5047e-04   5.2009e-06   1.2218e+09   1.2218e+09
  1.4059e+02   1.4212e+02   4.9546e+00  -1.5932e-04   4.1414e-06   1.9268e+09   1.9268e+09
  1.7699e+02   1.7873e+02   5.1839e+00  -1.0829e-04   3.3294e-06   2.9813e+09   2.9813e+09
  2.2281e+02   2.2464e+02   5.4125e+00   1.6495e-05   2.7985e-06   4.2197e+09   4.2197e+09
