## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr      kappa        sigma        weight       npairs   
  2.8050e+00   2.8290e+00   1.0380e+00   2.0002e-03   4.8270e-04   1.3904e+05   1.3904e+05
  3.5313e+00   3.5644e+00   1.2691e+00   2.0894e-03   3.9894e-04   2.0355e+05   2.0355e+05
  4.4457e+00   4.4855e+00   1.4989e+00   1.9465e-03   3.3112e-04   2.9546e+05   2.9546e+05
  5.5968e+00   5.6486e+00   1.7295e+00   2.0097e-03   2.7469e-04   4.2932e+05   4.2932e+05
  7.0460e+00   7.1138e+00   1.9601e+00   2.3982e-03   2.2638e-04   6.3211e+05   6.3211e+05
  8.8703e+00   8.9729e+00   2.1923e+00   2.2995e-03   1.8138e-04   9.8464e+05   9.8464e+05
  1.1167e+01   1.1275e+01   2.4206e+00   1.9204e-03   1.4383e-04   1.5660e+06   1.5660e+06
  1.4059e+01   1.4185e+01   2.6502e+00   1.4794e-03   1.1914e-04   2.2824e+06   2.2824e+06
  1.7699e+01   1.7894e+01   2.8825e+00   1.7988e-03   9.8663e-05   3.3279e+06   3.3279e+06
  2.2281e+01   2.2473e+01   3.1104e+00   1.7133e-03   7.9096e-05   5.1780e+06   5.1780e+06
  2.8050e+01   2.8363e+01   3.3431e+00   1.9674e-03   6.5616e-05   7.5243e+06   7.5243e+06
  3.5313e+01   3.5598e+01   3.5702e+00   2.1589e-03   5.4737e-05   1.0812e+07   1.0812e+07
  4.4457e+01   4.4769e+01   3.7995e+00   1.9775e-03   4.6272e-05   1.5130e+07   1.5130e+07
  5.5968e+01   5.6389e+01   4.0302e+00   2.2759e-03   3.9676e-05   2.0578e+07   2.0578e+07
  7.0460e+01   7.0878e+01   4.2589e+00   2.4679e-03   3.5381e-05   2.5879e+07   2.5879e+07
  8.8703e+01   8.9061e+01   4.4873e+00   2.2596e-03   3.2275e-05   3.1099e+07   3.1099e+07
  1.1167e+02   1.1234e+02   4.7194e+00   1.2387e-03   3.0074e-05   3.5818e+07   3.5818e+07
  1.4059e+02   1.4189e+02   4.9529e+00   7.4719e-04   2.6085e-05   4.7611e+07   4.7611e+07
  1.7699e+02   1.8017e+02   5.1919e+00  -7.0304e-05   1.9194e-05   8.7933e+07   8.7933e+07
  2.2281e+02   2.2585e+02   5.4178e+00  -4.4464e-04   1.3229e-05   1.8510e+08   1.8510e+08
