## {'sep_units': 'arcmin', 'metric': 'Euclidean', 'coords': 'spherical', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr       gamT         gamX        sigma        weight       npairs   
  2.8050e+00   2.8329e+00   1.0394e+00   5.1728e-05   3.5791e-05   3.3418e-04   2.9547e+05   2.9547e+05
  3.5313e+00   3.5680e+00   1.2701e+00   4.6837e-04   4.4964e-05   2.6996e-04   4.5275e+05   4.5275e+05
  4.4457e+00   4.4909e+00   1.5002e+00   8.9479e-05  -3.4519e-04   2.1753e-04   6.9728e+05   6.9728e+05
  5.5968e+00   5.6538e+00   1.7305e+00  -5.5802e-05  -2.0678e-04   1.7486e-04   1.0791e+06   1.0791e+06
  7.0460e+00   7.1178e+00   1.9607e+00  -2.0420e-05   1.0785e-04   1.4120e-04   1.6550e+06   1.6550e+06
  8.8703e+00   8.9628e+00   2.1912e+00  -2.2933e-04  -1.1102e-04   1.1399e-04   2.5392e+06   2.5392e+06
  1.1167e+01   1.1282e+01   2.4213e+00   6.8126e-05  -1.3252e-04   9.1364e-05   3.9529e+06   3.9529e+06
  1.4059e+01   1.4206e+01   2.6517e+00  -1.2257e-04   6.2127e-05   7.3362e-05   6.1307e+06   6.1307e+06
  1.7699e+01   1.7889e+01   2.8823e+00  -1.3033e-04  -3.6648e-05   5.8646e-05   9.5938e+06   9.5938e+06
  2.2281e+01   2.2512e+01   3.1121e+00  -1.4498e-04  -1.1216e-04   4.6884e-05   1.5011e+07   1.5011e+07
  2.8050e+01   2.8343e+01   3.3424e+00  -6.6100e-05  -6.7868e-05   3.7693e-05   2.3224e+07   2.3224e+07
  3.5313e+01   3.5676e+01   3.5725e+00  -1.6284e-04  -7.6022e-05   3.0414e-05   3.5672e+07   3.5672e+07
  4.4457e+01   4.4918e+01   3.8028e+00  -1.1682e-04  -1.7595e-05   2.4520e-05   5.4881e+07   5.4881e+07
  5.5968e+01   5.6530e+01   4.0328e+00  -1.8673e-05   2.5087e-05   1.9849e-05   8.3746e+07   8.3746e+07
  7.0460e+01   7.1167e+01   4.2630e+00  -5.0208e-05   5.8624e-05   1.6138e-05   1.2669e+08   1.2669e+08
  8.8703e+01   8.9590e+01   4.4932e+00   7.3418e-05   8.4127e-05   1.3184e-05   1.8983e+08   1.8983e+08
  1.1167e+02   1.1276e+02   4.7232e+00   1.4767e-04  -4.1747e-05   1.0791e-05   2.8335e+08   2.8335e+08
  1.4059e+02   1.4192e+02   4.9533e+00   1.3841e-04  -7.5818e-05   8.8672e-06   4.1965e+08   4.1965e+08
  1.7699e+02   1.7863e+02   5.1833e+00   4.5288e-05  -1.0122e-04   7.3579e-06   6.0948e+08   6.0948e+08
  2.2281e+02   2.2464e+02   5.4125e+00  -1.1129e-04  -1.6078e-04   6.2140e-06   8.5450e+08   8.5450e+08
